city,date,temp,humidity,high_wind,low_wind,events
Auckland,2016-01-01,65,82,21,28.0,Rain
Auckland,2016-01-02,66,94,33,46.0,Rain
Auckland,2016-01-03,72,91,18,,Rain
Auckland,2016-01-04,66,76,15,,Rain
Auckland,2016-01-05,62,69,13,,
Auckland,2016-01-06,63,65,17,28.0,
Auckland,2016-01-07,66,65,22,25.0,Rain
Auckland,2016-01-08,70,92,21,28.0,Rain
Auckland,2016-01-09,66,81,18,29.0,Rain
Auckland,2016-01-10,66,76,20,,Rain
Auckland,2016-01-11,67,72,17,26.0,
Auckland,2016-01-12,66,87,16,,Rain
Auckland,2016-01-13,66,73,18,,
Auckland,2016-01-14,68,80,17,,
Auckland,2016-01-15,68,76,15,,
Auckland,2016-01-16,68,76,12,,Rain
Auckland,2016-01-17,72,80,21,,Rain
Auckland,2016-01-18,72,89,29,41.0,Rain
Auckland,2016-01-19,68,78,20,,Rain
Auckland,2016-01-20,68,78,12,,
Auckland,2016-01-21,71,77,15,,
Auckland,2016-01-22,70,75,15,,
Auckland,2016-01-23,68,76,15,,
Auckland,2016-01-24,71,73,13,,
Auckland,2016-01-25,73,73,12,22.0,
Auckland,2016-01-26,72,80,9,,Rain
Auckland,2016-01-27,73,91,9,,"Fog , Rain , Thunderstorm"
Auckland,2016-01-28,73,85,17,,"Fog , Rain"
Auckland,2016-01-29,72,84,15,,Rain
Auckland,2016-01-30,72,78,14,,
Auckland,2016-01-31,73,81,17,,"Rain , Thunderstorm"
Auckland,2016-02-01,73,78,15,,
Auckland,2016-02-02,72,77,15,,
Auckland,2016-02-03,72,77,18,,
Auckland,2016-02-04,70,65,17,,Rain
Auckland,2016-02-05,70,83,16,,Rain
Auckland,2016-02-06,72,87,17,,Rain
Auckland,2016-02-07,74,75,22,,Rain
Auckland,2016-02-08,70,78,13,,Rain
Auckland,2016-02-09,70,75,13,,
Auckland,2016-02-10,72,83,14,,Rain
Auckland,2016-02-11,71,80,9,,
Auckland,2016-02-12,71,81,16,,Rain
Auckland,2016-02-13,71,76,14,,
Auckland,2016-02-14,71,71,17,,
Auckland,2016-02-15,71,68,21,,Rain
Auckland,2016-02-16,72,79,18,,Rain
Auckland,2016-02-17,68,87,26,38.0,Rain
Auckland,2016-02-18,73,88,26,40.0,"Rain , Hail"
Auckland,2016-02-19,70,81,18,,Rain
Auckland,2016-02-20,67,74,14,,
Auckland,2016-02-21,70,75,20,,
Auckland,2016-02-22,69,77,18,,
Auckland,2016-02-23,70,74,10,,
Auckland,2016-02-24,68,79,15,,
Auckland,2016-02-25,66,77,14,,
Auckland,2016-02-26,69,77,13,,
Auckland,2016-02-27,71,86,17,,Rain
Auckland,2016-02-28,74,88,18,,Rain
Auckland,2016-02-29,70,94,17,,Rain
Auckland,2016-03-01,68,88,15,,Rain
Auckland,2016-03-02,68,77,13,23.0,
Auckland,2016-03-03,68,74,12,,
Auckland,2016-03-04,68,74,12,,
Auckland,2016-03-05,68,81,15,,
Auckland,2016-03-06,67,81,15,,
Auckland,2016-03-07,72,79,20,,Rain
Auckland,2016-03-08,72,76,21,,
Auckland,2016-03-09,68,74,16,,Rain
Auckland,2016-03-10,64,78,18,,
Auckland,2016-03-11,68,78,18,,Rain
Auckland,2016-03-12,63,61,18,,
Auckland,2016-03-13,64,70,10,,
Auckland,2016-03-14,64,77,12,,
Auckland,2016-03-15,67,81,17,,Rain
Auckland,2016-03-16,72,85,14,21.0,Rain
Auckland,2016-03-17,66,93,15,,Rain
Auckland,2016-03-18,68,82,20,,Rain
Auckland,2016-03-19,68,76,20,,
Auckland,2016-03-20,68,80,20,,Rain
Auckland,2016-03-21,68,79,20,,Rain
Auckland,2016-03-22,70,76,23,,
Auckland,2016-03-23,70,88,29,40.0,Rain
Auckland,2016-03-24,70,92,34,45.0,Rain
Auckland,2016-03-25,70,90,13,,Rain
Auckland,2016-03-26,70,85,14,,
Auckland,2016-03-27,68,82,13,,
Auckland,2016-03-28,65,83,15,,Rain
Auckland,2016-03-29,66,78,14,,
Auckland,2016-03-30,66,62,13,,
Auckland,2016-03-31,63,76,16,,
Auckland,2016-04-01,66,79,20,,Rain
Auckland,2016-04-02,72,86,15,,Rain
Auckland,2016-04-03,70,88,20,,Rain
Auckland,2016-04-04,66,76,18,,
Auckland,2016-04-05,63,75,15,,Rain
Auckland,2016-04-06,59,68,12,,
Auckland,2016-04-07,59,79,13,,
Auckland,2016-04-08,62,84,15,,Rain
Auckland,2016-04-09,62,79,10,,
Auckland,2016-04-10,60,89,10,,Rain
Auckland,2016-04-11,63,85,13,,
Auckland,2016-04-12,65,83,17,,Rain
Auckland,2016-04-13,62,83,16,,Rain
Auckland,2016-04-14,62,77,13,,Rain
Auckland,2016-04-15,59,80,8,,
Auckland,2016-04-16,60,76,15,,Rain
Auckland,2016-04-17,62,94,13,,Rain
Auckland,2016-04-18,64,83,20,,
Auckland,2016-04-19,63,78,9,,
Auckland,2016-04-20,62,84,13,,Fog
Auckland,2016-04-21,62,75,8,,Rain
Auckland,2016-04-22,64,74,10,,
Auckland,2016-04-23,61,78,12,,
Auckland,2016-04-24,62,85,18,,Rain
Auckland,2016-04-25,64,72,22,,Rain
Auckland,2016-04-26,64,75,26,,Rain
Auckland,2016-04-27,60,83,12,,"Fog , Rain"
Auckland,2016-04-28,62,70,10,,
Auckland,2016-04-29,62,68,16,,
Auckland,2016-04-30,62,70,15,,
Auckland,2016-05-01,61,85,14,,Rain
Auckland,2016-05-02,65,87,14,,Fog
Auckland,2016-05-03,63,82,12,,
Auckland,2016-05-04,61,92,10,,Fog
Auckland,2016-05-05,66,86,12,,Rain
Auckland,2016-05-06,64,91,10,,"Fog , Rain"
Auckland,2016-05-07,62,88,9,,Fog
Auckland,2016-05-08,60,91,6,,Fog
Auckland,2016-05-09,62,90,9,,Fog
Auckland,2016-05-10,61,89,12,,Fog
Auckland,2016-05-11,66,92,16,,Rain
Auckland,2016-05-12,64,85,20,,Rain
Auckland,2016-05-13,64,86,22,,Rain
Auckland,2016-05-14,64,82,17,,Rain
Auckland,2016-05-15,62,88,15,,Rain
Auckland,2016-05-16,62,85,24,45.0,"Rain , Thunderstorm"
Auckland,2016-05-17,60,68,33,45.0,Rain
Auckland,2016-05-18,58,79,26,46.0,"Rain , Thunderstorm"
Auckland,2016-05-19,62,79,24,34.0,Rain
Auckland,2016-05-20,62,80,22,,"Rain , Thunderstorm"
Auckland,2016-05-21,58,87,18,30.0,"Rain , Thunderstorm"
Auckland,2016-05-22,58,78,29,36.0,Rain
Auckland,2016-05-23,54,83,26,38.0,Rain
Auckland,2016-05-24,60,80,23,32.0,Rain
Auckland,2016-05-25,58,84,30,44.0,Rain
Auckland,2016-05-26,58,84,20,,Rain
Auckland,2016-05-27,58,86,14,,Rain
Auckland,2016-05-28,64,81,26,39.0,Rain
Auckland,2016-05-29,60,87,29,40.0,Rain
